postcode,postcode_space,postcode area,Average_download_speed_Mbit_s,Maximum_download_speed_Mbit_s,Minimum_download_speed_Mbit_s,Average_upload_speed_Mbit_s,Maximum_upload_speed_Mbit_s,Minimum_upload_speed_Mbit_s,Average_data_usage_GB,All Premises,All Matched Premises,lsoa_area,county
BS105AA,BS10 5AA,BS,4.530446639792155,5.303304908059076,1.6094379124341003,2.0541237336955462,2.5649493574615367,0.5306282510621704,5.58724865840025,2.6390573296152584,2.6390573296152584,Bristol 004C,"Bristol, City of"
BS105AB,BS10 5AB,BS,4.383275854074314,5.303304908059076,1.7404661748405046,2.0918640616783932,3.044522437723423,0.5877866649021191,5.3981627015177525,2.4849066497880004,2.4849066497880004,Bristol 004D,"Bristol, City of"
BS105AD,BS10 5AD,BS,4.297285406218791,5.303304908059076,1.8870696490323797,2.0794415416798357,3.044522437723423,0.5877866649021191,5.802118375377063,3.4011973816621555,3.4011973816621555,Bristol 004D,"Bristol, City of"
BS105AE,BS10 5AE,BS,4.046553898385752,5.017279836814924,1.5260563034950492,1.9459101490553132,3.044522437723423,0.1823215567939546,5.886104031450156,3.4965075614664802,3.4965075614664802,Bristol 004D,"Bristol, City of"
BS105AF,BS10 5AF,BS,4.422448549172797,5.303304908059076,1.410986973710262,2.2512917986064953,3.044522437723423,0.4054651081081644,5.849324779946859,3.332204510175204,3.332204510175204,Bristol 004B,"Bristol, City of"
BS105AG,BS10 5AG,BS,4.257030144499196,5.303304908059076,1.5686159179138452,1.9740810260220096,2.5649493574615367,0.5877866649021191,5.298317366548036,3.5553480614894135,3.5553480614894135,Bristol 004D,"Bristol, City of"
BS105AH,BS10 5AH,BS,4.3694478524670215,5.303304908059076,1.2809338454620642,1.8082887711792655,2.5649493574615367,0.47000362924573563,5.5254529391317835,2.1972245773362196,2.1972245773362196,Bristol 004B,"Bristol, City of"
BS105AJ,BS10 5AJ,BS,4.192680462942962,5.303304908059076,0.9555114450274363,1.9459101490553132,2.7343675094195836,0.47000362924573563,5.087596335232384,2.833213344056216,2.833213344056216,Bristol 004B,"Bristol, City of"
BS105AL,BS10 5AL,BS,4.255612709818223,5.303304908059076,0.5306282510621704,1.840549633397487,2.5649493574615367,0.26236426446749106,5.472270673671475,3.4657359027997265,3.4657359027997265,Bristol 004B,"Bristol, City of"
BS105AN,BS10 5AN,BS,4.489759334476764,5.303304908059076,1.3862943611198906,2.066862759472976,2.5649493574615367,0.47000362924573563,5.5053315359323625,3.4657359027997265,3.4657359027997265,Bristol 010B,"Bristol, City of"
BS105AP,BS10 5AP,BS,4.345103280569283,5.303304908059076,1.1314021114911006,2.0541237336955462,3.044522437723423,0.3364722366212129,5.497168225293202,3.4965075614664802,3.4965075614664802,Bristol 004D,"Bristol, City of"
BS105AQ,BS10 5AQ,BS,4.345103280569283,5.303304908059076,1.62924053973028,2.1400661634962708,3.044522437723423,0.5877866649021191,5.857933154483459,3.4965075614664802,3.4965075614664802,Bristol 004B,"Bristol, City of"
BS105AR,BS10 5AR,BS,4.359269647551265,5.303304908059076,1.410986973710262,1.9740810260220096,2.5649493574615367,0.47000362924573563,5.488937726156687,3.4339872044851463,3.4339872044851463,Bristol 004D,"Bristol, City of"
BS105AS,BS10 5AS,BS,4.404277243608702,5.303304908059076,1.4586150226995167,2.028148247292285,3.044522437723423,0.3364722366212129,5.429345628954441,3.6635616461296463,3.6635616461296463,Bristol 004D,"Bristol, City of"
BS105AT,BS10 5AT,BS,4.399375273008495,5.303304908059076,0.7419373447293773,2.1162555148025524,3.044522437723423,0.09531017980432493,5.10594547390058,3.6109179126442243,3.6109179126442243,Bristol 004D,"Bristol, City of"
BS105AU,BS10 5AU,BS,4.483002552013883,5.707110264748875,1.5686159179138452,2.0794415416798357,3.044522437723423,0.47000362924573563,6.073044534100405,3.4657359027997265,3.4657359027997265,Bristol 004D,"Bristol, City of"
BS105AW,BS10 5AW,BS,4.037774210733707,4.61512051684126,0.9555114450274363,1.824549292051046,2.3978952727983707,0.5877866649021191,5.872117789475416,2.9444389791664403,2.9444389791664403,Bristol 004D,"Bristol, City of"
BS105AX,BS10 5AX,BS,4.404277243608702,5.303304908059076,1.791759469228055,2.2512917986064953,3.044522437723423,0.7419373447293773,5.963579343618446,3.1780538303479458,3.1780538303479458,Bristol 004D,"Bristol, City of"
