short_postal_code,town/city,county
TR27,HAYLE,CORNWALL
TR27,HAYLE,CORNWALL
TR27,HAYLE,CORNWALL
PL14,LISKEARD,CORNWALL
PL30,BODMIN,CORNWALL
TR11,FALMOUTH,CORNWALL
TR11,FALMOUTH,CORNWALL
PL30,BODMIN,CORNWALL
TR10,PENRYN,CORNWALL
TR15,REDRUTH,CORNWALL
TR15,REDRUTH,CORNWALL
TR11,FALMOUTH,CORNWALL
TR14,CAMBORNE,CORNWALL
PL22,LOSTWITHIEL,CORNWALL
TR16,REDRUTH,CORNWALL
TR14,CAMBORNE,CORNWALL
TR7,NEWQUAY,CORNWALL
TR26,ST IVES,CORNWALL
TR14,CAMBORNE,CORNWALL
PL13,LOOE,CORNWALL
PL11,TORPOINT,CORNWALL
TR18,PENZANCE,CORNWALL
PL18,CALSTOCK,CORNWALL
PL13,LOOE,CORNWALL
TR10,PENRYN,CORNWALL
TR7,NEWQUAY,CORNWALL
TR11,FALMOUTH,CORNWALL
TR13,HELSTON,CORNWALL
TR26,ST IVES,CORNWALL
TR7,NEWQUAY,CORNWALL
TR19,PENZANCE,CORNWALL
TR19,PENZANCE,CORNWALL
TR11,FALMOUTH,CORNWALL
PL25,ST AUSTELL,CORNWALL
TR14,CAMBORNE,CORNWALL
PL18,GUNNISLAKE,CORNWALL
TR27,HAYLE,CORNWALL
PL27,WADEBRIDGE,CORNWALL
PL24,PAR,CORNWALL
PL24,PAR,CORNWALL
TR14,CAMBORNE,CORNWALL
TR3,TRURO,CORNWALL
PL22,LOSTWITHIEL,CORNWALL
TR1,TRURO,CORNWALL
TR13,HELSTON,CORNWALL
TR13,HELSTON,CORNWALL
TR14,CAMBORNE,CORNWALL
TR15,REDRUTH,CORNWALL
PL11,TORPOINT,CORNWALL
TR18,PENZANCE,CORNWALL
TR1,TRURO,CORNWALL
TR1,TRURO,CORNWALL
TR3,TRURO,CORNWALL
TR16,REDRUTH,CORNWALL
EX23,BUDE,CORNWALL
TR7,NEWQUAY,CORNWALL
TR14,CAMBORNE,CORNWALL
TR13,HELSTON,CORNWALL
TR4,TRURO,CORNWALL
PL25,ST AUSTELL,CORNWALL
TR11,FALMOUTH,CORNWALL
TR11,FALMOUTH,CORNWALL
PL11,TORPOINT,CORNWALL
TR11,FALMOUTH,CORNWALL
TR1,TRURO,CORNWALL
TR18,PENZANCE,CORNWALL
TR26,ST IVES,CORNWALL
PL22,LOSTWITHIEL,CORNWALL
TR26,ST IVES,CORNWALL
EX23,BUDE,CORNWALL
